ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2426112,HH738835,10/26/2002 12:30:00 AM,023XX N SACRAMENTO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1414,014,35,22,14,,,2002,02/04/2016 06:33:39 AM,,,
9511582,HX166256,02/27/2014 11:00:00 AM,106XX S EDBROOKE AVE,0560,ASSAULT,SIMPLE,APARTMENT,true,false,0512,005,9,49,08A,1179143,1834470,2014,02/04/2016 06:33:39 AM,41.701072516,-87.619653906,"(41.701072516, -87.619653906)"
5817354,HN627478,10/03/2007 11:10:00 PM,107XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,0513,005,9,49,14,,,2007,02/04/2016 06:33:39 AM,,,
1722353,G527090,09/02/2001 09:00:00 PM,041XX N BROADWAY,0820,THEFT,$500 AND UNDER,STREET,false,false,2322,019,,,06,1169448,1927759,2001,08/17/2015 03:03:40 PM,41.957281543,-87.652446212,"(41.957281543, -87.652446212)"
2918512,HJ596147,08/30/2003 12:54:13 AM,030XX W 54TH PL,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,0911,009,14,63,04B,,,2003,02/04/2016 06:33:39 AM,,,
8751364,HV426706,08/12/2012 03:15:00 AM,058XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,STREET,false,false,0232,002,20,40,08B,1178157,1866270,2012,02/04/2016 06:33:39 AM,41.788357874,-87.622302126,"(41.788357874, -87.622302126)"
3372363,HK308433,04/18/2004 12:20:10 AM,042XX W WEST END AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1114,011,28,26,18,,,2004,02/04/2016 06:33:39 AM,,,
1813877,G641735,10/25/2001 09:21:52 AM,0000X W 87 ST,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,true,false,0634,006,,,06,1177043,1847234,2001,08/17/2015 03:03:40 PM,41.736146144,-87.626959873,"(41.736146144, -87.626959873)"
2971691,HJ664607,10/01/2003 09:45:00 AM,008XX E 82ND ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0631,006,8,44,08A,,,2003,02/04/2016 06:33:39 AM,,,
3058807,HJ774397,11/22/2003 12:48:15 AM,115XX S WENTWORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0522,005,34,53,08B,,,2003,02/04/2016 06:33:39 AM,,,
9914740,HY102842,12/24/2014 08:00:00 PM,049XX N KILPATRICK AVE,0810,THEFT,OVER $500,STREET,false,false,1712,017,39,14,06,,,2014,08/17/2015 03:03:40 PM,,,
7287276,HR703295,12/23/2009 04:30:00 AM,076XX S GREEN ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0621,006,17,71,05,1171958,1854279,2009,02/04/2016 06:33:39 AM,41.755591571,-87.645383119,"(41.755591571, -87.645383119)"
3751654,HL121408,01/12/2005 08:25:32 PM,009XX W 31ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0923,009,11,60,08B,,,2005,02/04/2016 06:33:39 AM,,,
2145456,HH351403,05/05/2002 12:40:00 PM,048XX W NORTH AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,SMALL RETAIL STORE,false,false,2533,025,37,25,10,,,2002,02/04/2016 06:33:39 AM,,,
4891880,HM506102,07/29/2006 01:35:00 AM,014XX E 54TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,2132,002,4,41,03,,,2006,02/04/2016 06:33:39 AM,,,
8643361,HV318319,06/04/2012 03:15:00 PM,133XX S BRANDON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0433,004,10,55,06,1199440,1817148,2012,02/04/2016 06:33:39 AM,41.653053575,-87.54591432,"(41.653053575, -87.54591432)"
2246636,HH520832,07/19/2002 12:40:00 PM,020XX S PULASKI RD,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,false,false,1012,010,24,29,06,,,2002,02/04/2016 06:33:39 AM,,,
2585353,HJ177573,07/23/2002 04:00:00 PM,024XX N LARAMIE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2515,025,31,19,06,,,2002,02/04/2016 06:33:39 AM,,,
5476866,HN299325,04/22/2007 08:30:00 PM,126XX S UNION AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"SCHOOL, PUBLIC, GROUNDS",false,false,0523,005,9,53,04B,,,2007,02/04/2016 06:33:39 AM,,,
7038469,HR445090,07/23/2009 08:00:00 PM,001XX W 111TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0522,005,34,49,26,1177270,1831016,2009,02/04/2016 06:33:39 AM,41.691636628,-87.62661592,"(41.691636628, -87.62661592)"
2807010,HJ462441,06/29/2003 11:25:00 PM,038XX W 61ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0823,008,13,65,14,,,2003,02/04/2016 06:33:39 AM,,,
6951200,HR356228,06/03/2009 04:15:00 PM,037XX N SOUTHPORT AVE,0810,THEFT,OVER $500,ALLEY,false,false,1923,019,44,6,06,1166301,1925041,2009,02/04/2016 06:33:39 AM,41.949891265,-87.664093531,"(41.949891265, -87.664093531)"
7730685,HS537116,09/27/2010 08:28:00 PM,036XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0211,002,4,35,14,1179458,1880822,2010,02/04/2016 06:33:39 AM,41.828260182,-87.617087218,"(41.828260182, -87.617087218)"
7814344,HS624094,11/19/2010 04:30:00 PM,098XX S DR MARTIN LUTHER KING JR DR,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,STREET,false,true,0511,005,6,49,26,,,2010,08/17/2015 03:03:40 PM,,,
